G/L Account,Profit Center,Segment,Customer,Customer Name,Special G/L ind.,Document Number,Document Date,,Debtor Category,WBS Element,Sales Document,Project,Product,Invoice reference,Reference,Document Date,Purchase Order Number,Assignment,Text,Due date,Ageing,Ageing in Days,Ageing in Days,To 0 Days,1 -  30 Days,31 -  60 Days,61 -  90 Days,91 - 120 Days,> 120 Days,Total (LC),Status,Not Due,Over Due, R Note , Bill Submission (Y/N) , Warranty , Warranty Difference of TDS , PVC , Lower Rate , GST Difference , GST TDS  , LD , EMD , Others/Not identified , Income Tax @0.1% , Retention , Reconciliation with Customer , RS CR , Payment received , Differences ,Old Legacy
24110000,P62300904,LM,40065303,Northern Railways,,9079300444,21-05-2025,,Not due,62OP-31034,3009400467,NR_2x130kVA_1x,2x130 KVA Static Inverter,,HR1506000263,05-07-2025,1.93E+13,9.08E+13,,05-Jul-25,-35, Not Due ,Not Due,"31,86,000.00",0,0,0,0,0,"31,86,000.00",Not Due,"31,86,000.00",0,"31,86,000", -   , -   ,0,0,0,0, -   ,0,0,0,0,,0,0,, -   ,No
24110300,P62300904,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,174953539,11-04-2023,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,DR ADJUSTMENT,31-03-2023,,1603008857,,31-03-2023,792, More than 120 Days ,Greater than 720 Days,0,0,0,0,0,"-1,617.06","-1,617.06",Over Due,0,"-1,617.06", -   , -   , -   ,0,0,0,0, -   ,0,0,0,-1617.06,,0,0,, -   ,No
24110300,P62300904,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,1400927745,06-03-2025,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2007730615,06-03-2025,,1.40E+13,TDS-9072406297,06-03-2025,86, 60-90 Days ,61-90 Days,0,0,0,"9,408.00",0,0,"9,408.00",Over Due,0,"9,408.00", -   , -   , -   ,0,0,0,0, -   ,0,0,0,9408,,0,0,, -   ,No
24110300,P62300904,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,1400927749,10-03-2025,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2007734877,10-03-2025,,1.40E+13,TDS-9072406294,10-03-2025,82, 60-90 Days ,61-90 Days,0,0,0,"9,408.56",0,0,"9,408.56",Over Due,0,"9,408.56", -   , -   , -   ,0,0,0,0, -   ,0,0,0,9408.56,,0,0,, -   ,No
24110300,P62300904,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,1400927750,10-03-2025,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2007734874,10-03-2025,,1.40E+13,TDS-9072406295,10-03-2025,82, 60-90 Days ,61-90 Days,0,0,0,"9,408.00",0,0,"9,408.00",Over Due,0,"9,408.00", -   , -   , -   ,0,0,0,0, -   ,0,0,0,9408,,0,0,, -   ,No
24110300,P62300904,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,1400927751,10-03-2025,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2007734876,10-03-2025,,1.40E+13,TDS-9072406296,10-03-2025,82, 60-90 Days ,61-90 Days,0,0,0,"9,408.00",0,0,"9,408.00",Over Due,0,"9,408.00", -   , -   , -   ,0,0,0,0, -   ,0,0,0,9408,,0,0,, -   ,No
24110300,P62300904,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,1400927752,10-03-2025,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2007734875,10-03-2025,,1.40E+13,TDS-9072406298,10-03-2025,82, 60-90 Days ,61-90 Days,0,0,0,"9,408.00",0,0,"9,408.00",Over Due,0,"9,408.00", -   , -   , -   ,0,0,0,0, -   ,0,0,0,9408,,0,0,, -   ,No
24110300,P62300904,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,1400927753,10-03-2025,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2007734879,10-03-2025,,1.40E+13,TDS-9072406299,10-03-2025,82, 60-90 Days ,61-90 Days,0,0,0,"9,408.00",0,0,"9,408.00",Over Due,0,"9,408.00", -   , -   , -   ,0,0,0,0, -   ,0,0,0,9408,,0,0,, -   ,No
24110300,P62300904,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,1400931063,20-03-2025,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2007753672,20-03-2025,,1.40E+13,TDS-9072402602,20-03-2025,72, 60-90 Days ,61-90 Days,0,0,0,"9,408.49",0,0,"9,408.49",Over Due,0,"9,408.49", -   , -   , -   ,0,0,0,0, -   ,0,0,0,9408.49,,0,0,, -   ,No
24110300,P62300904,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,1400934555,08-04-2025,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2007780395,08-04-2025,,1.40E+13,TDS-9072402418,08-04-2025,53, 30-60 Days ,31-60 Days,0,0,"9,408.86",0,0,0,"9,408.86",Over Due,0,"9,408.86", -   , -   , -   ,0,0,0,0, -   ,0,0,0,9408.86,,0,0,, -   ,No
24110300,P62300904,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,1400939779,08-05-2025,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2007813015,08-05-2025,,1.40E+13,TDS-9072406293,08-05-2025,23, 0-30 Days ,11-30 Days,0,"9,408.00",0,0,0,0,"9,408.00",Over Due,0,"9,408.00", -   , -   , -   ,0,0,0,0, -   ,0,0,0,"9,408.00",,0,0,, -   ,No
24110000,P62300904,LM,40072308,FA&CAO/CLW/Chittaranjan,,1400939779,08-05-2025,,Overdue,62OP-30987,3008882521,CLW_HLC_22x,HLC,9072406293,2007813015,03-02-2025,7.02E+13,9.07E+13,9.07E+13,03-02-2025,117, 90-120 Days ,91-180 Days,0,0,0,0,"66,56,714.00",0,"66,56,714.00",Over Due,0,"66,56,714.00", -   , -   ,"66,56,714",0,0,0,0, -   ,0,0,0,0,,0,0,, -   ,No
24110300,P62300904,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,1400941897,20-05-2025,,Not due,IT TDS,IT TDS,IT TDS,IT TDS,,2007825095,20-05-2025,,1.40E+13,TDS-9072406275,20-05-2025,11, 0-30 Days ,11-30 Days,0,"9,408.00",0,0,0,0,"9,408.00",Over Due,0,"9,408.00", -   , -   , -   ,0,0,0,0, -   ,0,0,0,"9,408.00",,0,0,, -   ,No
24110300,P62300904,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,1400942130,21-05-2025,,Not due,IT TDS,IT TDS,IT TDS,IT TDS,,2007826638,21-05-2025,,1.40E+13,TDS-9072406276,21-05-2025,10, 0-30 Days ,0-10 Days,0,"9,408.86",0,0,0,0,"9,408.86",Over Due,0,"9,408.86", -   , -   , -   ,0,0,0,0, -   ,0,0,0,"9,408.86",,0,0,, -   ,No
27881190,P62300904,LM,40072308,FA&CAO/CLW/Chittaranjan,>,1400942137,21-05-2025,,Not due,GST TDS,GST TDS,GST TDS,GST TDS,,2007826639,21-05-2025,,1.40E+13,IGST TDS,21-05-2025,10, 0-30 Days ,0-10 Days,0,"1,88,169.70",0,0,0,0,"1,88,169.70",Over Due,0,"2,53,426.48", -   , -   , -   ,0,0,0,0,"2,53,426",0,0,0,0,,0,0,,"-65,256.78",No
24110300,P62300904,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,1400942137,21-05-2025,,Not due,IT TDS,IT TDS,IT TDS,IT TDS,,2007826639,21-05-2025,,1.40E+13,TDS-9072406277,21-05-2025,10, 0-30 Days ,0-10 Days,0,"9,408.86",0,0,0,0,"9,408.86",Over Due,0,"9,408.86", -   , -   , -   ,0,0,0,0, -   ,0,0,0,"9,408.86",,0,0,, -   ,No
24110300,P62300904,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,1400942138,21-05-2025,,Not due,IT TDS,IT TDS,IT TDS,IT TDS,,2007826636,21-05-2025,,1.40E+13,TDS-9072406278,21-05-2025,10, 0-30 Days ,0-10 Days,0,"9,408.86",0,0,0,0,"9,408.86",Over Due,0,"9,408.86", -   , -   , -   ,0,0,0,0, -   ,0,0,0,"9,408.86",,0,0,, -   ,No
27881190,P62300904,LM,40072308,FA&CAO/CLW/Chittaranjan,>,1400942138,21-05-2025,,Not due,GST TDS,GST TDS,GST TDS,GST TDS,,2007826636,21-05-2025,,1.40E+13,IGST TDS,21-05-2025,10, 0-30 Days ,0-10 Days,0,"1,88,169.70",0,0,0,0,"1,88,169.70",Over Due,0,"1,88,169.70", -   , -   , -   ,0,0,0,0,"1,88,170",0,0,0,0,,0,0,, -   ,No
24110300,P62300904,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,1400942139,21-05-2025,,Not due,IT TDS,IT TDS,IT TDS,IT TDS,,2007826637,21-05-2025,,1.40E+13,TDS-9072406279,21-05-2025,10, 0-30 Days ,0-10 Days,0,"9,408.86",0,0,0,0,"9,408.86",Over Due,0,"9,408.86", -   , -   , -   ,0,0,0,0, -   ,0,0,0,"9,408.86",,0,0,, -   ,No
27881190,P62300904,LM,40072308,FA&CAO/CLW/Chittaranjan,>,1400942139,21-05-2025,,Not due,GST TDS,GST TDS,GST TDS,GST TDS,,2007826637,21-05-2025,,1.40E+13,IGST TDS,21-05-2025,10, 0-30 Days ,0-10 Days,0,"1,88,169.70",0,0,0,0,"1,88,169.70",Over Due,0,"1,88,169.70", -   , -   , -   ,0,0,0,0,"1,88,170",0,0,0,0,,0,0,, -   ,No
24110000,P62300904,LM,40072308,FA&CAO/CLW/Chittaranjan,,1602921263,31-03-2022,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,9079606519,DR ADJUSTMENT,10-03-2022,7.02E+13,9.08E+13,9079606519,10-03-2022,"1,178", More than 120 Days ,Greater than 720 Days,0,0,0,0,0,"9,620.94","9,620.94",Over Due,0,"9,620.94", -   , -   , -   ,0,0,0,0, -   ,0,0,0,9620.94,,0,0,, -   ,No
24110000,P62300904,LM,40072308,FA&CAO/CLW/Chittaranjan,,1602921263,31-03-2022,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,9079606517,DR ADJUSTMENT,10-03-2022,7.02E+13,9.08E+13,9079606517,10-03-2022,"1,178", More than 120 Days ,Greater than 720 Days,0,0,0,0,0,"9,620.94","9,620.94",Over Due,0,"9,620.94", -   , -   , -   ,0,0,0,0, -   ,0,0,0,9620.94,,0,0,, -   ,No
